Latitude,Longitude,MedInc,cluster
32.71,-117.03,3.2596,5
33.77,-118.16,3.8125,5
34.66,-120.48,4.1563,0
32.69,-117.11,1.9425,5
36.78,-119.8,3.5542,0
37.42,-121.86,6.6227,4
34.04,-117.97,2.5192,5
37.91,-122.53,7.9892,4
34.13,-117.9,1.5,5
34.02,-117.79,6.4266,1
37.72,-122.45,4.2167,4
33.97,-118.35,2.2303,5
37.46,-119.72,2.875,0
37.33,-121.88,2.0972,3
34.18,-118.34,2.8125,5
33.89,-118.23,3.1667,5
36.67,-121.65,2.8924,3
38.03,-121.34,4.4063,4
34.32,-118.43,4.2330000000000005,1
33.93,-118.28,1.4329,5
34.16,-117.34,2.1935,5
37.24,-121.98,8.5425,4
38.94,-123.15,2.7171,3
33.98,-118.28,1.575,5
40.89,-122.31,2.2583,3
37.89,-122.28,5.4171,4
39.48,-121.57,0.8252,3
34.08,-118.26,3.5039,5
33.8,-118.07,3.8792,5
36.06,-120.79,2.4881,0
33.12,-117.07,2.7216,5
34.55,-118.01,4.071000000000001,1
33.99,-118.4,2.825,5
34.08,-118.06,2.5119,5
32.79,-117.01,3.4421,5
33.88,-118.11,3.5893,5
40.66,-122.36,2.0119,3
33.97,-118.21,3.1901,5
33.86,-118.06,5.0778,1
33.65,-117.92,0.9702,5
34.1,-118.47,11.1978,2
34.1,-118.03,3.94,5
33.93,-117.41,4.0156,5
33.97,-118.38,6.019,1
33.76,-118.02,3.6289,5
32.95,-117.05,3.2369,5
38.55,-121.51,2.8417,3
33.91,-118.07,3.1957,5
33.6,-117.7,3.1131,5
34.17,-118.14,4.0524,1
34.07,-118.26,2.4038,5
37.94,-122.07,4.475,4
39.76,-121.65,3.0,3
32.77,-117.01,2.6678,5
34.06,-118.35,3.2411,5
33.5,-117.7,8.7591,2
37.82,-122.08,11.3421,2
33.9,-118.24,1.2083,5
34.04,-118.36,2.7917,5
32.8,-117.24,2.9258,5
32.72,-117.14,2.0529,5
34.18,-118.14,3.3068,5
38.96,-122.63,1.75,3
36.66,-118.96,3.1964,0
37.56,-122.27,5.6936,4
34.15,-118.23,5.3369,1
33.68,-117.89,3.3409,5
33.99,-118.32,1.9779,5
33.77,-118.18,1.1483,5
33.98,-117.47,4.9886,1
37.32,-122.27,5.3951,4
33.81,-118.18,1.75,5
32.75,-117.09,1.2286,5
37.38,-121.85,5.2415,4
38.61,-121.32,2.774,3
37.97,-121.25,1.7895,3
33.84,-117.93,3.2301,5
34.88,-117.13,2.3373,5
33.95,-118.14,3.6635,5
36.97,-122.13,4.7188,4
34.06,-118.06,2.5763,5
37.86,-122.27,2.6914,3
34.19,-118.47,5.0929,1
38.71,-121.44,3.5129,3
37.99,-121.79,5.7321,4
34.02,-118.17,2.45,5
32.75,-117.16,2.9705,5
34.1,-118.29,2.9417,5
38.11,-122.6,5.3962,4
37.81,-121.99,4.9018,4
33.78,-117.91,3.045,5
37.8,-121.21,1.4853,3
